qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level
801,응급상황 대응,119 신고 시 알려야 할 정보는?,"[""이름만 말한다"",""위치, 환자 상태, 연락처를 알린다"",""아무것도 안 말해도 된다"",""전화만 하면 된다""]",1,정확한 정보가 빠른 대응에 중요합니다.,119 신고 시 정확한 위치와 환자 상태를 알려주세요.,쉬움,1
802,응급상황 대응,의식 확인 방법은?,"[""멀리서 지켜본다"",""어깨를 가볍게 두드리며 반응을 확인한다"",""큰 소리로만 부른다"",""확인 안 해도 된다""]",1,반응 확인이 응급처치의 첫 단계입니다.,어깨를 두드리고 소리를 지르며 반응을 확인하세요.,쉬움,1
803,응급상황 대응,AED 사용 전 확인할 것은?,"[""바로 작동시킨다"",""환자가 젖어있거나 금속 위에 있는지 확인"",""확인 불필요"",""의료인만 사용""]",1,감전 위험을 피해야 합니다.,물기를 제거하고 금속 표면을 피해 AED를 사용하세요.,보통,2
804,응급상황 대응,기도 폐쇄 환자가 기침할 수 있다면?,"[""하임리히법을 한다"",""기침을 유도하고 지켜본다"",""등을 세게 친다"",""물을 마시게 한다""]",1,기침이 가능하면 기도가 완전히 막힌 게 아닙니다.,기침할 수 있으면 기침을 격려하며 지켜보세요.,보통,2
805,응급상황 대응,출혈이 심한 환자 응급처치는?,"[""피가 멈출 때까지 기다린다"",""깨끗한 천으로 상처를 세게 누른다"",""상처를 물로 씻는다"",""지혈대를 바로 사용한다""]",1,직접 압박이 지혈의 기본입니다.,출혈 부위를 깨끗한 천으로 세게 눌러 지혈하세요.,쉬움,1
806,응급상황 대응,척추 손상이 의심될 때 대처법은?,"[""환자를 움직인다"",""환자를 움직이지 않고 119에 신고한다"",""환자를 앉힌다"",""목을 움직여 확인한다""]",1,척추 손상 시 움직임이 위험합니다.,척추 손상이 의심되면 환자를 움직이지 말고 119에 신고하세요.,어려움,3
807,응급상황 대응,쇼크 환자의 다리 위치는?,"[""낮게 한다"",""심장보다 높게 올린다"",""상관없다"",""구부린다""]",1,혈액이 심장으로 돌아오도록 합니다.,쇼크 환자의 다리를 올려 혈액 순환을 돕습니다.,보통,2
808,응급상황 대응,심정지 환자 발견 시 가장 먼저 할 일은?,"[""물을 마시게 한다"",""주변에 도움을 요청하고 119 신고"",""혼자 처리한다"",""지켜본다""]",1,빠른 신고가 생존율을 높입니다.,심정지 발견 시 즉시 도움 요청과 119 신고가 우선입니다.,쉬움,1
809,응급상황 대응,화상 시 물집이 생기면?,"[""물집을 터트린다"",""터트리지 않고 병원에 간다"",""연고를 바른다"",""반창고를 붙인다""]",1,물집을 터트리면 감염 위험이 있습니다.,물집은 터트리지 말고 병원에서 치료받으세요.,보통,2
810,응급상황 대응,경련 환자 응급처치는?,"[""입에 물건을 넣는다"",""주변을 치우고 머리를 보호한다"",""환자를 꽉 잡는다"",""물을 마시게 한다""]",1,경련 중 입에 물건을 넣으면 위험합니다.,경련 환자 주변을 안전하게 하고 머리를 보호하세요.,어려움,3
811,응급상황 대응,저혈당 쇼크 증상은?,"[""고열"",""땀, 떨림, 의식 저하"",""기침"",""두드러기""]",1,당이 떨어지면 뇌에 영향을 줍니다.,저혈당 증상은 식은땀, 떨림, 어지러움 등입니다.,보통,2
812,응급상황 대응,저혈당 환자 응급처치는?,"[""인슐린을 준다"",""당분을 섭취시킨다"",""물만 마시게 한다"",""그냥 둔다""]",1,당분 섭취가 필요합니다.,의식이 있는 저혈당 환자에게 사탕이나 주스를 주세요.,쉬움,1
813,응급상황 대응,고열 환자 응급처치는?,"[""이불을 덮는다"",""미지근한 물로 몸을 닦고 해열제 복용"",""찬물에 담근다"",""운동시킨다""]",1,체온을 낮춰야 합니다.,미지근한 물로 몸을 닦고 필요시 해열제를 복용하세요.,쉬움,1
814,응급상황 대응,과호흡 환자 대처법은?,"[""빨리 숨 쉬게 한다"",""천천히 깊게 호흡하도록 유도한다"",""종이봉투에 숨 쉬게 한다"",""운동시킨다""]",1,호흡을 진정시켜야 합니다.,과호흡 시 천천히 깊은 호흡을 유도하세요. 종이봉투는 권장하지 않습니다.,보통,2
815,응급상황 대응,익수자 구조 후 응급처치는?,"[""배를 누른다"",""기도 확보 후 호흡 확인, 필요시 CPR"",""물을 토하게 한다"",""세운다""]",1,기도 확보와 호흡 확인이 우선입니다.,익수자는 기도 확보 후 호흡 확인하고 필요시 CPR을 시행하세요.,어려움,3
816,응급상황 대응,전기 감전 사고 시 대처법은?,"[""환자를 바로 만진다"",""전원을 차단한 후 환자 상태 확인"",""물을 뿌린다"",""감전은 위험하지 않다""]",1,전원이 켜진 채 만지면 함께 감전됩니다.,전원을 먼저 차단하고 환자를 확인하세요.,보통,2
817,응급상황 대응,뱀에 물렸을 때 응급처치는?,"[""입으로 독을 빨아낸다"",""움직임을 최소화하고 병원에 간다"",""물린 부위를 절개한다"",""술을 마신다""]",1,입으로 빨거나 절개는 위험합니다.,뱀에 물리면 움직임을 줄이고 즉시 병원으로 가세요.,어려움,3
818,응급상황 대응,음독 환자 응급처치는?,"[""토하게 한다"",""119에 신고하고 먹은 물질 정보를 알린다"",""물을 마시게 한다"",""그냥 둔다""]",1,물질에 따라 토하게 하면 위험할 수 있습니다.,음독 시 토하게 하지 말고 119에 신고하며 먹은 물질 정보를 알리세요.,어려움,3
819,응급상황 대응,열사병 환자 응급처치는?,"[""운동시킨다"",""서늘한 곳으로 옮기고 체온을 낮춘다"",""따뜻하게 해준다"",""물을 억지로 마시게 한다""]",1,체온을 빠르게 낮춰야 합니다.,열사병 환자는 서늘한 곳에서 체온을 낮추고 119에 신고하세요.,보통,2
820,응급상황 대응,동상 환자 응급처치는?,"[""불로 녹인다"",""37-40도 미지근한 물에 담근다"",""세게 문지른다"",""눈으로 문지른다""]",1,급격한 온도 변화는 조직 손상을 줍니다.,동상 부위는 미지근한 물에 천천히 녹이세요.,보통,2
821,응급상황 대응,기도가 완전히 막힌 성인 응급처치는?,"[""물을 마시게 한다"",""복부 밀어올리기(하임리히법)를 시행한다"",""등만 두드린다"",""기다린다""]",1,복부 밀어올리기가 효과적입니다.,기도가 완전히 막히면 하임리히법으로 이물질을 제거하세요.,보통,2
822,응급상황 대응,영아의 기도폐쇄 응급처치는?,"[""하임리히법만 한다"",""등 두드리기와 가슴 압박을 번갈아 한다"",""물을 마시게 한다"",""손가락으로 빼낸다""]",1,영아는 성인과 다른 방법을 사용합니다.,영아는 등 두드리기 5회와 가슴 압박 5회를 번갈아 시행하세요.,어려움,3
823,응급상황 대응,가슴 통증 환자 응급처치는?,"[""운동시킨다"",""편하게 눕히고 119 신고 후 아스피린 고려"",""무시한다"",""찬물을 마시게 한다""]",1,심장 문제일 수 있습니다.,가슴 통증 시 편히 쉬게 하고 119 신고 후 아스피린 복용을 고려하세요.,보통,2
824,응급상황 대응,뇌졸중 의심 증상(FAST)은?,"[""기침, 재채기"",""얼굴 처짐, 팔 마비, 언어 장애"",""두통만"",""배탈""]",1,FAST: Face, Arm, Speech, Time.,얼굴 처짐, 팔 마비, 언어 장애가 있으면 즉시 119에 신고하세요.,보통,2
825,응급상황 대응,아나필락시스 응급처치는?,"[""기다린다"",""에피네프린 투여 후 119 신고"",""물을 마시게 한다"",""항히스타민제만 준다""]",1,아나필락시스는 생명을 위협합니다.,에피펜이 있으면 투여하고 즉시 119에 신고하세요.,어려움,3
826,응급상황 대응,눈에 이물질이 들어갔을 때?,"[""눈을 비빈다"",""깨끗한 물로 씻어낸다"",""손가락으로 빼낸다"",""그냥 둔다""]",1,비비면 손상이 심해집니다.,눈에 이물질이 들어가면 깨끗한 물로 씻어내세요.,쉬움,1
827,응급상황 대응,코피 응급처치 시 고개 방향은?,"[""뒤로 젖힌다"",""약간 앞으로 숙인다"",""옆으로 한다"",""상관없다""]",1,뒤로 젖히면 피를 삼킬 수 있습니다.,코피 시 고개를 약간 앞으로 숙이고 코를 눌러주세요.,쉬움,1
828,응급상황 대응,골절 의심 시 응급처치는?,"[""뼈를 맞춘다"",""부목으로 고정하고 병원에 간다"",""움직여 확인한다"",""마사지한다""]",1,움직이면 손상이 심해질 수 있습니다.,골절 의심 시 부목으로 고정하고 병원에 가세요.,보통,2
829,응급상황 대응,발목 삠 응급처치(RICE)는?,"[""열찜질만 한다"",""휴식, 얼음찜질, 압박, 높이기"",""계속 걷는다"",""마사지한다""]",1,RICE가 초기 처치의 기본입니다.,발목을 삐면 쉬고 얼음찜질하고 압박붕대로 감고 높이 올려두세요.,보통,2
830,응급상황 대응,벌에 쏘였을 때 응급처치는?,"[""손으로 침을 짠다"",""카드 등으로 침을 긁어내고 냉찜질"",""뜨거운 물로 씻는다"",""그냥 둔다""]",1,짜면 독이 더 들어갈 수 있습니다.,벌침은 긁어서 빼고 냉찜질로 부기를 줄이세요.,쉬움,1
831,질병 예방·관리,고혈압 예방법은?,"[""소금을 많이 먹는다"",""저염식과 규칙적인 운동"",""예방 불가능"",""약만 먹으면 된다""]",1,생활습관이 중요합니다.,저염식, 규칙적 운동, 체중 관리로 고혈압을 예방하세요.,쉬움,1
832,질병 예방·관리,당뇨병 예방에 좋은 것은?,"[""단 음식을 많이 먹는다"",""규칙적인 운동과 균형 잡힌 식사"",""당뇨는 예방 못한다"",""약만 먹으면 된다""]",1,건강한 생활습관이 핵심입니다.,규칙적 운동과 균형 잡힌 식사로 당뇨를 예방하세요.,쉬움,1
833,질병 예방·관리,대장암 예방에 도움되는 것은?,"[""가공육을 많이 먹는다"",""식이섬유 섭취와 정기 검진"",""예방 불가능"",""운동은 상관없다""]",1,식이섬유와 검진이 중요합니다.,채소, 과일 섭취와 정기 대장내시경으로 대장암을 예방하세요.,보통,2
834,질병 예방·관리,뇌졸중 위험 요인은?,"[""저혈압"",""고혈압, 당뇨, 흡연, 고지혈증"",""운동"",""채소 섭취""]",1,여러 요인이 복합적으로 작용합니다.,고혈압 관리와 금연으로 뇌졸중 위험을 낮추세요.,보통,2
835,질병 예방·관리,심장병 예방법은?,"[""흡연한다"",""금연, 운동, 건강한 식단"",""예방 못한다"",""스트레스를 받는다""]",1,생활습관 개선이 핵심입니다.,금연, 규칙적 운동, 건강한 식단으로 심장병을 예방하세요.,쉬움,1
836,질병 예방·관리,골다공증 예방법은?,"[""칼슘 섭취를 줄인다"",""칼슘과 비타민 D 섭취, 체중부하 운동"",""예방 못한다"",""앉아만 있는다""]",1,뼈 건강에 칼슘과 운동이 중요합니다.,칼슘, 비타민 D 섭취와 체중부하 운동으로 골다공증을 예방하세요.,보통,2
837,질병 예방·관리,치매 예방에 도움되는 활동은?,"[""혼자 집에만 있는다"",""사회 활동과 두뇌 자극 활동"",""예방 못한다"",""TV만 본다""]",1,두뇌 활동이 중요합니다.,독서, 퍼즐, 사회 활동이 치매 예방에 도움이 됩니다.,보통,2
838,질병 예방·관리,폐암의 주요 원인은?,"[""과일 섭취"",""흡연이 가장 큰 원인"",""운동"",""물을 많이 마셔서""]",1,흡연이 폐암의 주요 원인입니다.,금연이 폐암 예방의 가장 효과적인 방법입니다.,쉬움,1
839,질병 예방·관리,위암 예방법은?,"[""짜게 먹는다"",""싱겁게 먹고 헬리코박터 치료"",""예방 못한다"",""가공식품을 많이 먹는다""]",1,염분과 헬리코박터가 위험 요인입니다.,저염식과 헬리코박터 치료로 위암 위험을 낮추세요.,보통,2
840,질병 예방·관리,간암 예방법은?,"[""음주를 많이 한다"",""B형 간염 예방접종과 절주"",""예방 못한다"",""간은 회복된다""]",1,간염과 음주가 주요 위험 요인입니다.,B형 간염 접종과 절주로 간암을 예방하세요.,보통,2
841,질병 예방·관리,유방암 조기 발견법은?,"[""증상이 나타나면 검사한다"",""정기적인 유방 촬영과 자가 검진"",""검진 필요 없다"",""유방암은 드물다""]",1,조기 발견이 생존율을 높입니다.,40세 이상은 2년마다 유방 촬영 검사를 받으세요.,보통,2
842,질병 예방·관리,자궁경부암 예방법은?,"[""예방 못한다"",""HPV 백신 접종과 정기 검진"",""백신이 해롭다"",""검진 불필요""]",1,HPV 백신이 예방에 효과적입니다.,HPV 백신 접종과 정기 검진으로 자궁경부암을 예방하세요.,보통,2
843,질병 예방·관리,전립선암 검진은?,"[""필요 없다"",""50세 이상 남성은 정기 검진 권장"",""젊은 사람 병이다"",""증상 없으면 안 받아도 된다""]",1,조기 발견이 중요합니다.,50세 이상 남성은 전립선 검진을 정기적으로 받으세요.,보통,2
844,질병 예방·관리,갑상선 질환 증상은?,"[""증상이 없다"",""피로, 체중 변화, 목 부종 등"",""기침만 난다"",""두통만 있다""]",1,갑상선은 호르몬에 영향을 줍니다.,피로, 체중 변화, 목 부종이 있으면 갑상선 검사를 받으세요.,보통,2
845,질병 예방·관리,통풍 예방법은?,"[""육류를 많이 먹는다"",""술과 퓨린이 많은 음식을 줄인다"",""예방 못한다"",""물을 적게 마신다""]",1,요산이 쌓이면 통풍이 생깁니다.,술을 줄이고 물을 충분히 마시면 통풍을 예방할 수 있습니다.,보통,2
846,질병 예방·관리,관절염 관리법은?,"[""운동을 안 한다"",""적절한 운동과 체중 관리"",""관절에 무리를 준다"",""약만 먹는다""]",1,체중이 관절에 부담을 줍니다.,적절한 운동과 체중 관리로 관절염을 관리하세요.,쉬움,1
847,질병 예방·관리,천식 관리법은?,"[""흡입기 사용을 안 한다"",""유발 요인 피하고 약을 규칙적으로 사용"",""천식은 낫는다"",""운동을 안 한다""]",1,꾸준한 관리가 중요합니다.,천식 유발 요인을 피하고 처방된 약을 규칙적으로 사용하세요.,보통,2
848,질병 예방·관리,만성폐쇄성폐질환(COPD) 주요 원인은?,"[""운동"",""흡연이 가장 큰 원인"",""채소 섭취"",""물을 많이 마셔서""]",1,흡연이 COPD의 주요 원인입니다.,금연이 COPD 예방과 악화 방지에 가장 중요합니다.,보통,2
849,질병 예방·관리,신장 건강에 좋은 습관은?,"[""나트륨을 많이 섭취한다"",""수분 섭취와 혈압 관리"",""단백질을 과다 섭취한다"",""검진을 안 받는다""]",1,신장은 혈압과 노폐물 배출에 관여합니다.,충분한 수분 섭취와 혈압 관리로 신장 건강을 지키세요.,보통,2
850,질병 예방·관리,지방간 예방법은?,"[""술을 많이 마신다"",""절주와 체중 관리"",""기름진 음식을 많이 먹는다"",""운동을 안 한다""]",1,비만과 음주가 주요 원인입니다.,절주, 운동, 체중 관리로 지방간을 예방하세요.,쉬움,1
851,질병 예방·관리,빈혈 예방에 좋은 음식은?,"[""커피를 많이 마신다"",""철분이 풍부한 음식(고기, 시금치 등)"",""빈혈은 예방 못한다"",""칼슘만 섭취한다""]",1,철분이 적혈구 생성에 필요합니다.,고기, 시금치, 콩 등 철분이 풍부한 음식을 섭취하세요.,쉬움,1
852,질병 예방·관리,변비 예방법은?,"[""물을 적게 마신다"",""식이섬유와 수분 섭취, 규칙적 운동"",""화장실을 참는다"",""야채를 안 먹는다""]",1,수분과 섬유질이 중요합니다.,채소, 과일, 물을 충분히 섭취하고 규칙적으로 운동하세요.,쉬움,1
853,질병 예방·관리,역류성 식도염 예방법은?,"[""눕자마자 잔다"",""식후 바로 눕지 않고 과식을 피한다"",""매운 음식을 많이 먹는다"",""꽉 끼는 옷을 입는다""]",1,위산 역류를 방지해야 합니다.,식후 2-3시간 후에 눕고 과식을 피하세요.,보통,2
854,질병 예방·관리,과민성 대장증후군 관리법은?,"[""스트레스를 무시한다"",""스트레스 관리와 식이 조절"",""아무거나 먹어도 된다"",""약만 먹는다""]",1,스트레스와 음식이 영향을 줍니다.,스트레스를 관리하고 유발 음식을 피하세요.,보통,2
855,질병 예방·관리,대상포진 후 신경통 위험을 줄이려면?,"[""치료를 늦게 받는다"",""발진 후 72시간 내 항바이러스제 복용"",""치료 안 해도 된다"",""통증을 참는다""]",1,조기 치료가 합병증을 줄입니다.,대상포진 발진 후 72시간 내에 치료를 시작하세요.,어려움,3
856,질병 예방·관리,허리 디스크 예방법은?,"[""무거운 것을 허리로 든다"",""올바른 자세와 코어 근육 강화 운동"",""예방 못한다"",""계속 앉아있는다""]",1,자세와 근력이 중요합니다.,바른 자세 유지와 코어 근육 강화로 디스크를 예방하세요.,보통,2
857,질병 예방·관리,목 디스크 예방법은?,"[""고개를 계속 숙인다"",""스마트폰 사용 시 눈높이를 맞추고 스트레칭"",""예방 못한다"",""목을 꺾는다""]",1,목에 부담을 주는 자세를 피해야 합니다.,스마트폰은 눈높이에서 사용하고 스트레칭을 자주 하세요.,보통,2
858,질병 예방·관리,녹내장 조기 발견 중요성은?,"[""증상이 나타나면 치료한다"",""초기에 증상이 없어 정기 검진이 중요"",""녹내장은 낫는다"",""검진 불필요""]",1,녹내장은 초기에 증상이 없습니다.,40세 이상은 정기적으로 안과 검진을 받으세요.,보통,2
859,질병 예방·관리,백내장 위험 요인은?,"[""젊은 나이"",""노화, 자외선 노출, 당뇨"",""운동"",""채소 섭취""]",1,노화가 주요 원인입니다.,자외선 차단과 당뇨 관리로 백내장 위험을 줄이세요.,보통,2
860,질병 예방·관리,황반변성 예방법은?,"[""흡연한다"",""금연과 항산화 영양소 섭취"",""예방 못한다"",""자외선을 많이 쬔다""]",1,황반변성은 실명 원인입니다.,금연과 녹황색 채소 섭취로 황반변성을 예방하세요.,보통,2
861,질병 예방·관리,수면무호흡증 증상은?,"[""숙면을 취한다"",""코골이와 주간 졸음"",""아침에 상쾌하다"",""증상이 없다""]",1,수면 중 호흡이 멈춥니다.,심한 코골이와 주간 졸음이 있으면 검사를 받으세요.,보통,2
862,질병 예방·관리,하지정맥류 예방법은?,"[""오래 서 있는다"",""다리를 올리고 압박 스타킹 착용"",""예방 못한다"",""꽉 끼는 옷을 입는다""]",1,정맥 순환이 중요합니다.,다리를 자주 올리고 오래 서 있는 것을 피하세요.,보통,2
863,질병 예방·관리,족저근막염 예방법은?,"[""딱딱한 신발을 신는다"",""적절한 신발과 스트레칭"",""맨발로 걷는다"",""예방 못한다""]",1,발에 쿠션이 필요합니다.,쿠션 있는 신발과 발 스트레칭으로 예방하세요.,쉬움,1
864,질병 예방·관리,손목터널증후군 예방법은?,"[""손목을 계속 꺾는다"",""손목 보호대와 휴식, 스트레칭"",""예방 못한다"",""타이핑을 더 많이 한다""]",1,반복적인 손목 사용이 원인입니다.,손목 휴식과 스트레칭으로 손목터널증후군을 예방하세요.,쉬움,1
865,질병 예방·관리,테니스엘보 예방법은?,"[""팔을 더 많이 사용한다"",""적절한 휴식과 팔 근육 강화 운동"",""예방 못한다"",""무리하게 운동한다""]",1,반복 사용이 원인입니다.,팔을 적절히 쉬게 하고 근육 강화 운동을 하세요.,쉬움,1
866,질병 예방·관리,어깨 오십견 관리법은?,"[""움직이지 않는다"",""꾸준한 스트레칭과 물리치료"",""어깨를 안 쓴다"",""통증을 무시한다""]",1,관절 가동 범위 유지가 중요합니다.,오십견은 꾸준한 스트레칭과 물리치료로 관리하세요.,보통,2
